chr1 48000000 52000000 seq1
chr2 86000000 100500000 seq2
chr2 134500000 138000000 seq3
chr2 183000000 190000000 seq4
chr3 47500000 50000000 seq5
chr3 83500000 87000000 seq6
chr3 89000000 97500000 seq7
chr5 44000000 51500000 seq8
chr5 98000000 100500000 seq9
chr5 129000000 132000000 seq10
chr5 135500000 138500000 seq11
chr6 25000000 33500000 seq12
chr6 57000000 64000000 seq13
chr6 140000000 142500000 seq14
chr7 55000000 66000000 seq15
chr8 8000000 12000000 seq16
chr8 43000000 50000000 seq17
chr10 37000000 43000000 seq18
chr11 45000000 57000000 seq19
chr11 87500000 90500000 seq20
chr12 33000000 40000000 seq21
chr12 109500000 112000000 seq22
chr20 32000000 34500000 seq23
